Nama;Address;Type;Class;District;Province;Hospital
RSU Bau Bau;Jl. Jend Sudirman 20 Bau Bau;A;C;Buton;Sulawesi Tenggara;rs
RSU Propinsi Kendari;Jl. Dr Ratulangi No. 151 Kendari;A;B;Kota Kendari;Sulawesi Tenggara;rs
Rumkit Tk.IV Dr. R Ismoyo Kendari;Jl. Laute no 1 Kendari Sul-ut;A;4;Kota Kendari;Sulawesi Tenggara;rs
RSUD Kab.Konawe Utara;Jl. Raya Asera - Kendari, Lahimbua Kec. Asera;A;B;Konawe Utara;Sulawesi Tenggara;rs
RSUD Bombana;Jl. Poea Kel.Poea, Rumbia;A;D;Bombana;Sulawesi Tenggara;rs
RSUD Wakatobi;Jl. Wohou Kel. Mandati III, Kec. Wangi - Wangi Selatan;A;D;Wakatobi;Sulawesi Tenggara;rs
RSUD Namrole;Jl. Kamboja - Namrole;A;D;Buru Selatan;Maluku;rs
RSUD Pasar Wajo;Kabupaten Buton;A;C;Buton;Sulawesi Tenggara;rs
RSU Raha;Jl. Sultan Hasanuddin No.6 Raha;A;C;Muna;Sulawesi Tenggara;rs
RSU Unaaha;Jl. Pangeran Diponegoro No.301, Konawe;A;C;Kendari;Sulawesi Tenggara;rs
RS Jiwa Kendari;Jl. Letjen Suprapto Kendari;B;B;Kota Kendari;Sulawesi Tenggara;rs
RS Bhayangkara Kendari;Jl. Y Wayong No.7Kendari;A;4;Kendari;Sulawesi Tenggara;rs
RSU Daerah Abunawas;Jl. Ki Hajar Dewantara No. 16, Kendari;A;D;Kota Kendari;Sulawesi Tenggara;rs
RSUD H.M.Djafar Harun;Jl. Trans Sulawesi No. Lasusua, Kaloka;A;D;Kolaka;Sulawesi Tenggara;rs
RSU Noongan;Jl.Raya Noongan Langowan Barat;A;D;Minahasa;Sulawesi Utara;rs
RS Budi Mulia Bitung;Jl. Sam Ratulangi X/9A Bitung;A;Madya;Bitung;Sulawesi Utara;rs
RS Bergerak Kab.Kep.Sitaro;Kampung Sawang Kec, Siau timur selatan;A;D;Siau Tagulandang Biaro;Sulawesi Utara;rs
RSUD Morowali;Jl. Trans Sulawesi Fonuasingko Bungku;A;D;Morowali;Sulawesi Tengah;rs
RSU Ampana;Jl. St Hasanudin No. 32 Ampana;A;C;Poso;Sulawesi Tengah;rs
RSUD Kabelota;Jl. Trans Palu - Donggala Kabonga Besar;A;D;Donggala;Sulawesi Tengah;rs
RSU Mokopido Toli-Toli;Jl. Lanoni No.37 Toli-Toli, Sulteng;A;C;Toli-Toli;Sulawesi Tengah;rs
RSU Buol;Kab Buol;A;D;Buol;Sulawesi Tengah;rs
RSU Undata Palu;Jl. Dr Suharso 14 Palu;A;B;Palu;Sulawesi Tengah;rs
Rumkit Tk.IV Wirabuana Palu;Jl. Sisinga Mangaraja No.4,Palu;A;4;Palu;Sulawesi Tengah;rs
RSU Anutapura Palu;Jl. Kangkung No. 1 Palu;A;B;Palu;Sulawesi Tengah;rs
RS Jiwa Palu;Km 13 Mamboro Palu;B;B;Palu;Sulawesi Tengah;rs
RSU Tangerang;Jl. A Yani No. 9 Tangerang;A;B;Kota Tangerang;Banten;rs
RSIA Budiasih;Jl. KH Sohari No.39 Serang;RS Bersalin;C;Serang;Banten;rs
RSAB Sari Asih;Jl. Imam Bonjol Karawaci No 38 TNG;RSU;B;Kota Tangerang;Banten;rs
RSU Dr Adjidarmo;Jl. Iko Jatmika 1 Rangkasbitung;RS non Pendidikan;B;Lebak;Banten;rs
RS Islam Asshobirin;Jl. Raya Serpong Km11 Tangerang;A;C;Tangerang;Banten;rs
Rumkit Tk.IV Kencana Serang;Jl. A Yani 23 Serang;A;4;Serang;Banten;rs
RS Kusta Sitanala;Jl. Dr Sitanala Tangerang;G;A;Kota Tangerang;Banten;rs
RS Usada Insani;Jl. KH.HASYIM ASHARI NO.24 Tangerang;U;B;Kota Tangerang;Banten;rs
RSU Melati;Jl. Merdeka No. 92,Tangerang;A;C;Kota Tangerang;Banten;rs
RSIA Kurnia;Jl. Jombang Masjid No.4,Cilegon;O;C;Kota Cilegon;Banten;rs
RSUD As Sholihin;Jl. Surya Kencana No.1, Kec.Pamulang, Tangerang Selatan;A;C;Kota Tangerang Selatan;Banten;rs
RSUD Malingping;Jl. Raya Saketi Km.1, Malingping Kab.Lebak;A;C;Lima Puluh Kota;Banten;rs
RS Misi Lebak;Jl. Multatuli No.41 Rangkas Bitung;A;D;Lebak;Banten;rs
RS DIM 0506 Tangerang;Jl. Daan Mogot 59 Tangerang;A;4;Kota Tangerang;Banten;rs
RS Krakatau Medika;Jl. Semang Raya Cilegon;A;B;Cilegon;Banten;rs
RSU Rafflesia;Jl. Mahoni No.10 Sawah Lebar,Bengkulu;A;D;Kota Bengkulu;Bengkulu;rs
RSU Curup;Jl. Basuki Rachmad No.10 Curup;A;C;Rejang Lebong;Bengkulu;rs
RS Bergerak Enggano;Jl. Raya Malakoni KM3 Enggano;A;D;Bengkulu Utara;Bengkulu;rs
RSJKO Soeprapto Bengkulu;Jl. Bhakti Husada Lingkar Barat Bengkulu;B;B;Kota Bengkulu;Bengkulu;rs
Rumkit Tk IV Bengkulu;Jl. Zainal Arifin Gading Cempaka,Bengkulu;A;D;Kota Bengkulu;Bengkulu;rs
RSU Arga Makmur;Jl. Siti Khadijah Arga Makmur;A;C;Bengkulu Utara;Bengkulu;rs
RSUD Mukomuko;Jl. Padat Karya No.166,Mukomuko;A;D;Muko-Muko;Bengkulu;rs
Rumkit Bhayangkara Jitra Bengkulu;Jl. Veteran No. Bengkulu;A;4;Kota Bengkulu;Bengkulu;rs
RSUD Bengkulu Tengah;Jl. Raya Bengkulu - Kepahyang Km.34,5 Ds. Bajak I;A;D;Bengkulu Tengah;Bengkulu;rs
RS Hana Charitas Arga Makmur;Jl. IR. Sukarno No.12 Arga Makmur, Bengkulu Utara;A;D;Bengkulu Utara;Bengkulu;rs
RSU Manna;Jl. Fatmawati Soekarno 31,Manna;A;C;Bengkulu Selatan;Bengkulu;rs
RSUD Tais Kab.Seluma;Jl. Raya Bengkulu - Manna KM.64,Tais;A;D;Seluma;Bengkulu;rs
RSUD Muaradua;Jl. Raya Ranau Desa Suka Jaya Kec.Muaradua;A;D;Ogan Komering Ulu Selatan;Sumatera Selatan;rs
RSUD Kepahiang;Jl. Kolonel Santoso No.325,Kab.Kepahiang;A;D;Kepahiang;Bengkulu;rs
RSU Dr M Yunus Bengkulu;Jl. Bayangkara S.Mulyo,Bengkulu;A;B;Bengkulu;Bengkulu;rs
RSU Panti Rapih;Jl. Cik Ditiro 30 Yogyakarta;A;B;Kota Yogyakarta;DI Yogyakarta;rs
RSUP Dr. Sarjito;Jl. Kesehatan Sekip Yogyakarta;A;A;Sleman;DI Yogyakarta;rs
RSU Permata Husada;jl.pleret-kotagede km-4;RSU;D;Bantul;DI Yogyakarta;rs
RSUD Wates;Jl. Tentara Pelajar No. 1 Wates;A;C;Kulon Progo;DI Yogyakarta;rs
RS Islam Yogyakarta PDHI;Jl. Solo Km 12,5 Kalasan Yogya;A;D;Sleman;DI Yogyakarta;rs
RSUD Prambanan;Jl. Prambanan Piyungan Km.6 Sumber Harjo Prambanan Sleman;A;D;DI Yogyakarta;DI Yogyakarta;rs
RS PKU Muhammadiyah;Jl. Ronggowarsito 130,Surakarta;A;C;Surakarta;Jawa Tengah;rs
RSUD Penembahan Senopati;Jl. Dr. Wahidin SH Bantul;A;B;Bantul;DI Yogyakarta;rs
RS PKU Muhammadiyah Bantul;Jl. Jenderal Sudirman 124 Bantul;O;C;Bantul;DI Yogyakarta;rs
RSUD Wonosari;Jl. Taman Bakti Wonosari;A;C;Gunung Kidul;DI Yogyakarta;rs
RSUD Sleman;Jl. Bhayangkara 48 Sleman;A;B;Sleman;DI Yogyakarta;rs
RS Jiwa Ghrasia/Lalijiwa pakem;Jl. Kaliurang No. 17 Yogyakarta;B;A;Sleman;DI Yogyakarta;rs
RS Ibu dan Anak Sakina Idaman;Jl. Nyi Condrolukito,Blunyah Gede 60,Sleman;O;C;Sleman;DI Yogyakarta;rs
Rumkit DKT Dr. Soetarto/Tk. III Yogyakarta;Jl. Juwadi 19 Yogyakarta;A;3;Yogyakarta;DI Yogyakarta;rs
RS PKU Muhammadiyah Yogya;Jl. K.H. Ahmad Dahlan 20 Yogyakarta;A;C;Yogyakarta;DI Yogyakarta;rs
RS Bethesda Yogyakarta;Jl. Jen Sudirman 70 Yogyakarta;A;B;Yogyakarta;DI Yogyakarta;rs
RS Dr S Harjolukito;Lanud Adisucipto Yogyakarta;A;2;Yogyakarta;DI Yogyakarta;rs
RSK Bedah Patmasuri;Lapangan Krapyak Yogyakarta;K;C;Yogyakarta;DI Yogyakarta;rs
RSUD Kota Yogyakarta;Jl. Wirosaban No. 1 Yogyakarta;A;B;Yogyakarta;DI Yogyakarta;rs
RSK Bedah Soedirman;Jl. Sidobali UH II/402 Muja-Muju Yogyakarta;K;D;Yogyakarta;DI Yogyakarta;rs
"Rumah Sakit &quot;JIH&quot;";Jalan Ring Road Utara no. 160 Condongcatur Depok;A;B;Sleman;DI Yogyakarta;rs
RSUD Otanaha Gorontalo;Jl. Usman Isa, Gorontalo;A;D;Gorontalo;Gorontalo;rs
RSUD Tombulilato;Kabupaten Bine Bolango;A;D;Bone;Gorontalo;rs
RSUD Pohuwato;Jl. Teratai Desa Botubilotahu Gorontalo;A;D;Pohuwato;Gorontalo;rs
RSU Dr M Mohammad Dunda;Jl. A Yani Limboto Gorontalo;A;C;Boalemo;Gorontalo;rs
RSUD Tani dan Nelayan;Jl.Letjen Ahmad Yani Ds.Lamu Kec.Tilamuta,Kab.Boalemo;A;D;Boalemo;Gorontalo;rs
RSU Prof Dr H Aloei Saboe;Jl. Sultan Batutihe No. 7 Gorontalo;A;B;Gorontalo;Gorontalo;rs
RSU May.H.A. Thalib/Sungai Penuh;Jl. Basuki Rahmat;A;C;Kerinci;Jambi;rs
RSUD Hamadjid Batoe BT Hari/ Muara Bulian;Jl. Dr. Sri Sudewi,Muara Bulian;A;C;Batang Hari;Jambi;rs
RSUD H. Hanafi/Muara Bungo;Jl. Teuku Umar 88,Muaro Bungo;A;C;Bungo;Jambi;rs
RS Santa Theresia;Jl. Dr. Sutomo No.19,Jambi;A;D;Jambi;Jambi;rs
RSU KH. Daud Arif;Jl. Syarif Hidayatullah,Kuala Tungkal;A;C;Tanjung Jabung Barat;Jambi;rs
RSUD Sungai Bahar;Ds. Suka Makmur Kecamatan Sungai Bahar;A;D;jambi;Jambi;rs
RS Mayang Medical Centre;Jl. Ir.H. Juanda No.56 Simp III Sipin, Jambi;A;D;Jambi;Jambi;rs
RSUD Sultan Taha Saifudin;Jl. Lintas Tebo-Bungo Km 4,Jambi;A;C;Tebo;Jambi;rs
RSUD Kolonel Abundjani/Bangko;Lapangan Jambi Bajubang;A;C;Sarolangun Bangko;Jambi;rs
RSUD Prof.DR.H.M.Chatib Quzwain;Jl. Lintas Sumatera Km.09 Desa Bukit,Sarolangun;A;C;Sarolangun Bangko;Jambi;rs
RSUD Muaro Jambi;Jl. Lintas Timur;A;C;Muaro Jambi;Jambi;rs
RSUD Nurdin Hamzah;Jl. Keramas Muara,Sabak Barat;A;C;Tanjung Jabung Timur;Jambi;rs
Rumkit Bhayangkara Jambi;Jl. Raden Mathaher No.3,Jambi;A;4;Jambi;Jambi;rs
RS Jiwa Jambi;Jl. Dr. Purwadi Km.9,5,Jambi;B;B;Jambi;Jambi;rs
RSUD H. Abdul Manap Kota Jambi;Jl. SK.Rd.Syahbuddin Kec.Kota Baru Jambi;A;D;Jambi;Jambi;rs
Rumkit Tk II Dustira Cimahi;Jl. Rumah Sakit No.1 Cimahi;A;2;Bandung;Jawa Barat;rs
RSUD Karawang;Jl. Galuh Mas Raya No.1,Karawang;A;B;Karawang;Jawa Barat;rs
RSU Santosa Bandung Internasional Hospital;Jl. Kebon Jati No.38,Bandung;A;B;Kota Bandung;Jawa Barat;rs
RS Bhakti Yudha;Jl. Raya Sawangan No. 2A Depok;A;C;Bogor;Jawa Barat;rs
RS Mitra Keluarga Cibubur;Jl. Alternatif Transyogi, Cibubur;A;C;Kota Bekasi;Jawa Barat;rs
RS Puri Cinere;Jl. Maribaya No.1 Puri Cinere,Depok;Swasta;B;Bogor;Jawa Barat;rs
RSUD Kota Bandung/Ujung Berung;Jl. Rumah Sakit 22 Bandung;A;C;Kota Bandung;Jawa Barat;rs
RS Harapan Depok;Jl. Pemuda No.10,Depok Bogor;A;D;Bogor;Jawa Barat;rs
RSU Meilia;Jl. Alternatif Cibubur - Cilenungsi,Cimanggis, Depok;A;B;Bogor;Jawa Barat;rs
RSUD Jampang Kulon;Jl. Cibarusah No.1 Jampang Kulon,Kab.Sukabumi;A;D;Sukabumi;Jawa Barat;rs
RSU Cianjur;Jl. Rumah Sakit No.1 Cianjur;A;B;Cianjur;Jawa Barat;rs
RS Siloam Glenegles;Jl. MH Thamrin Kav.105 Bekasi;A;C;Bekasi;Jawa Barat;rs
RS KCK Pindad;Jl. Jend Gatot Subroto Bandung;Umum;D;Kota Bandung;Jawa Barat;rs
RSK Bedah Bina Sehat;Jl. Raya Dayeuh Kolot No.325 Bandung;K;D;Kota Bandung;Jawa Barat;rs
RS Karya Husada;Jl. Jend. A.Yani No.89 Cikampek;A;C;Karawang;Jawa Barat;rs
RS Mata Cicendo;Jl. Cicendo No.4 Bandung;D;A;Kota Bandung;Jawa Barat;rs
RSB Muhammadiyah Kodya Cirebon;Jl. Dr. W.Sudirohusodo Cirebon;Khusus Bersalin;D;Kota Cirebon;Jawa Barat;rs
RSU Pandeglang;Jln.Raya Labuan KM 5 Cikoneng;A;C;Pandeglang;Banten;rs
RSUD Gunung Jati;Jl. Kesambi No.56 Cirebon;Badan Layanan Daerah;B;Kota Cirebon;Jawa Barat;rs
RSK Bedah Budi Asta;Jl. Kalitanjung No.51 Cirebon;Swata;D;Kota Cirebon;Jawa Barat;rs
RS Pelabuhan Cirebon;Jl. Sisingamangaraja No.45 Cirebon;Swasta;C;Kota Cirebon;Jawa Barat;rs
RSB Putera Bahagia;Jl. Ciremai Raya Cirebon;RSU;C;Kota Cirebon;Jawa Barat;rs
Rumkit Tk III Ciremai Cirebon;Jl. Kesambi 237 Cirebon;A;3;Kota Cirebon;Jawa Barat;rs
RS Budi Luhur;Kebon Pelok Harjamukti Cirebon;Umum;D;Kota Cirebon;Jawa Barat;rs
RS Advent Bandung;Jl. Cihampelas 161 Bandung;A;B;Kota Bandung;Jawa Barat;rs
RS Bina Husada;Jl. Mayor Oking No.101 Km 01 Cibinong - Bogor;A;C;Bogor;Jawa Barat;rs
RSU Ciawi;Jl. Raya Puncak 479 Ciawi Bogor;A;B;Bogor;Jawa Barat;rs
RSUD Indramayu;Jl. Rumah Sakit No. 1 Indramayu;A;B;Indramayu;Jawa Barat;rs
RSUD Bayu Asih;Jl. Veteran No. 39 Purwakarta;A;C;Purwakarta;Jawa Barat;rs
RSU Cibinong;Jl. KSR Dadi Kusmayadi No. 27 Bogor;A;B;Kab Bogor;Jawa Barat;rs
RSUD Waled;Jl. Kesehatan No. 4 Waled, Cirebon;A;B;Cirebon;Jawa Barat;rs
RSUD Bekasi;Jl. Pramuka No. 55 Bekasi;A;B;KOTA BEKASI;Jawa Barat;rs
RS Kebonjati;Jl. Kebonjati 152 Bandung;A;C;Bandung;Jawa Barat;rs
RS Permata Medical Center;Jl Raya Panyindangan Wetan;A;D;Indramayu;Jawa Barat;rs
Rumkit Bhayangkara Indramayu;Jl. Raya Pantura Km.73-75, Losarang Indramayu;A;4;Indramayu;Jawa Barat;rs
RS Efarina Etaham;Jl. Bungursari No.1, Purwakarta;A;B;Purwakarta;Jawa Barat;rs
RSIA Karunia Bunda;Jl. Raya Jatiwaringin No.133, Pd Gede Bekasi;O;-;Bekasi;Jawa Barat;rs
RSIA Masmitra Jatimakmur;Jl. Kelurahan Jati Makmur No.40, Pondok Gede Kota Bekasi;A;-;Bekasi;Jawa Barat;rs
RS Sentra Medika;Jl. Raya Bogor KM. Cisalak - Depok;A;-;Depok;Jawa Barat;rs
RS Paru Dr. Goenawan Partowidigdo Cisarua;Jl. Raya Puncak Cisarua Bogor;F;A;Bogor;Jawa Barat;rs
RS Tugu Ibu;Jl. Raya Bogor Km 29 Cimanggis - Depok;A;C;Bogor;Jawa Barat;rs
RSU Sekarwangi;Jl. Siliwangi Cibadak Sukabumi;A;C;Sukabumi;Jawa Barat;rs
RSU Pelabuhan Ratu;Jl. Rumah Sakit Pelabuhan Ratu;A;C;Sukabumi;Jawa Barat;rs
RSUD Cimacan;Jl. Raya Cimacan No.17, Cianjur;A;D;Cianjur;Jawa Barat;rs
RSU Majalaya;Jl. Cipaku No.87 Paseh Sukabumi;A;C;Bandung;Jawa Barat;rs
RSU Cibabat;Jl. Jend. H. Amir Machmud No. 140;A;B;Bandung;Jawa Barat;rs
RS Jiwa Cimahi;Jl. Kolonel Masturi Cimahi;B;B;Bandung;Jawa Barat;rs
RS Islam Al Ihsan;Jl. Bale Endah Kab Bandung;A;B;Bandung;Jawa Barat;rs
RSUD Soreang;Jl. Alun-Alun Utara Soreang;A;C;Bandung;Jawa Barat;rs
RSUD Dr. Slamet;Jl. Rumah Sakit No.10 Garut;A;B;Garut;Jawa Barat;rs
Rumkit Tk IV Guntur Garut;Jl. Bratayuda 101 Garut;A;4;Garut;Jawa Barat;rs
RSU Tasikmalaya;Jl. Rumah Sakit 33 Tasikmalaya;A;B;Tasikmalaya;Jawa Barat;rs
RSUD Ciamis;Jl. Rumah Sakit No.76 Ciamis;A;C;Ciamis;Jawa Barat;rs
RSUD Banjar;Jl. Rumah Sakit No. 5 Banjar;A;B;Ciamis;Jawa Barat;rs
RSUD Kuningan;Jl. Sudirman No. 68 Kuningan;A;B;Kuningan;Jawa Barat;rs
RS Wijaya Kusumah;Jl. RE Martadinata 172 Kuningan;A;C;Kuningan;Jawa Barat;rs
RSTP Sidawangi;Jl. Sumber-Mandirancan Cirebon;F;C;Cirebon;Jawa Barat;rs
RSUD Arjawinangun;Jl. Pahlawan No. 38 Arjawiangun;A;C;Cirebon;Jawa Barat;rs
RSUD Majalengka;Jl. Kesehatan No.82 Majalengka;A;C;Majalengka;Jawa Barat;rs
RSUD Cideres;Jl. Raya Cideres 180 Majalengka;A;C;Majalengka;Jawa Barat;rs
RSUD Sumedang;Jl. Palasari No. 80 Sumedang;A;B;Majalengka;Jawa Barat;rs
RSUD Pantura M.A.Sentot Patrol;Jl. Raya Patrol Km.50,Indramayu;A;D;Indramayu;Jawa Barat;rs
RSUD Subang;Jl. Palasari No. 80 Sumedang;A;B;Subang;Jawa Barat;rs
RS Lanu Kalijati;Lanud Kalijati Subang;A;4;Subang;Jawa Barat;rs
RS Medika;Jl. Raya Industri Pasirgombong Cikarang;A;C;KOTA BEKASI;Jawa Barat;rs
RS Ananda;Jl. Sultan Agung No.173,Kec.Medan Satria - Bekasi;A;B;Bekasi;Jawa Barat;rs
RSUD Kab.Bekasi;Jl. Teuku Umar Cibitung,Bekasi;A;C;Bekasi;Jawa Barat;rs
RS Citra Harapan;Jl.Raya Harapan Indah Blok 3-5 Kota Bekasi;A;C;Bekasi;Jawa Barat;rs
RS Islam Dr.Subki Abdulkadir;Jl. R.A. Kartini No.66,Bekasi;A;C;Bekasi;Jawa Barat;rs
Rumkit Tk IV Salak Bogor;Jl. Jend Sudirman No. 8 Bogor;A;4;Kota Bogor;Jawa Barat;rs
RS Lanud Atang Sanjaya;Jl. Sarijo No. 1, Semplak;A;3;Kota Bogor;Jawa Barat;rs
RSJ Dr. H. Marzoeki Mahdi;Jl. Dr. Semeru No.114 Bogor;B;A;Kota Bogor;Jawa Barat;rs
RSUD R Syamsudin SH;Jl. Rumah Sakit No. 1 Sukabumi;A;B;Kota Sukabumi;Jawa Barat;rs
RS Secapa Polri;Jl. Bhayangkara No. 166 Sukabumi;A;4;Kota Sukabumi;Jawa Barat;rs
RSU Dr Hasan Sadikin;Jl. Pasteur 38 Bandung;A;A;Kota Bandung;Jawa Barat;rs
RS Sartika Asih;Jl. Mooh. Toha No. 369 Bandung;A;4;Kota Bandung;Jawa Barat;rs
RS Pusat AU Dr M Salamun;Jl. Ciumbuleiut 203 Bandung;A;2;Kota Bandung;Jawa Barat;rs
RS Lanu Sulaiman;Jl. Terusan Kopo Margahayu Bdg;A;4;Kota Bandung;Jawa Barat;rs
RSU Tk IV Sariningsih Bandung;Jl. LL RE Martadinata 9 Bandung;A;4;Kota Bandung;Jawa Barat;rs
RS Jiwa Bandung;Jl. LLRE Martadinata No.11 Bandung;B;A;Kota Bandung;Jawa Barat;rs
RSIA Sumber Kasih;Jl. Siliwangi No.135 Cirebon;O;C;Kota Cirebon;Jawa Barat;rs
RSUD Kota Depok;Jl. Raya Muchtar No.99,Sawangan Depok;A;C;Depok;Jawa Barat;rs
RS Dr. R. Soeprapto Cepu;Jl. Ronggolawe No. 50,Cepu;A;C;Blora;Jawa Tengah;rs
RSU Dr. H.Soewondo Kendal;Jl. Laut No. 21,Kendal;RS Pemkab Kendal;B;Kendal;Jawa Tengah;rs
RSUD Sragen;Jl. Raya Sukowati No.534,Sragen;A;B;Sragen;Jawa Tengah;rs
RS Dr. R. Soetijono Blora;Jl. Dr Sutomo No. 42,Blora;A;C;Blora;Jawa Tengah;rs
RSU JATI HUSADA;Jl. Raya Solo - Tawangmangu KM 10,3 Jati, Jateng;A;D;Karanganyar;Jawa Tengah;rs
RSUD Majenang;Jl. Dr. Soetomo No. 54 Majenang;A;C;Cilacap;Jawa Tengah;rs
RSU Banjarnegara;Jl. Jen Sudirman No.42 Banjarnegara;Umum;C;Banjarnegara;Jawa Tengah;rs
RS Islam Wonosobo;Jl. Mayjend Bambang S Mendolo,Wonosobo;A;C;Wonosobo;Jawa Tengah;rs
RS Dr.Oen Solo Baru;Komplek Perumahan Solo Baru Kec.Grogol Sukoharjo;A;C;Sukoharjo;Jawa Tengah;rs
RSUD RAA Soewondo;Jl. Dr Soesanto 114,Pati;A;B;Pati;Jawa Tengah;rs
RSI PKU Muhammadiyah Pekajangan;Jl. Raya Ambokembang No.42-44,Pekalongan;A;C;Pekalongan;Jawa Tengah;rs
RSU Dr. M Ashasi Pemalang;Jl. Gatot Subroto No.41,Pemalang;A;C;Pemalang;Jawa Tengah;rs
RS Islam PKU Muhammadiyah;Jl. Singkil Km.5 Kab.Tegal;A;C;Tegal;Jawa Tengah;rs
RSUD Banyudono;Jl. Raya Solo - Boyolali KM.10 Kuwiran Kec.Banyudono Kab.Boyolali;RSU;D;Boyolali;Jawa Tengah;rs
RSU Dr. Kariadi;Jl. Dr. Soetomo No.16,Semarang;A;A;Kota Semarang;Jawa Tengah;rs
RSU Dr. R.Soedjati Soemodiardjo;Jl. D.I Panjaitan 36,Purwodadi;A;B;Grobogan;Jawa Tengah;rs
RSUD Pekalongan;Jl. Veteran 31,Pekalongan;RS Pemkab Pekalongan;B;Pekalongan;Jawa Tengah;rs
"RS Ibu dan Anak &#39; Aisyiyah &#39;";Jl. Mayjend Sutoyo 113, Purworejo;O;0;Purworejo;Jawa Tengah;rs
RSUD Gemolong Kabupaten Sragen;jl.DR Soetomo No 792;A;D;Sragen;Jawa Tengah;rs
RSU Cilacap;Jl. Gatot Subroto 28 Cilacap;A;B;Cilacap;Jawa Tengah;rs
RSUD Pandan Arang Boyolali;Jl. Kantil No. 14, Boyolali;A;C;Boyolali;Jawa Tengah;rs
RSUP Dr.Suraji Tirtonegoro Klaten;Jl. Dr. Soeraji T No.1,Klaten;A;B;Klaten;Jawa Tengah;rs
RSUD Dr. Soediran MS Wonogiri;Jl. Jend A Yani No. 40,Wonogiri;A;B;Wonogiri;Jawa Tengah;rs
RS Budi Rahayu;Jl. Barito No. 5,Pekalongan;A;Madya;Kota Pekalongan;Jawa Tengah;rs
RS Santa Maria Pemalang;Jl. Pemuda No. 24,Pemalang;A;C;Pemalang;Jawa Tengah;rs
RS Islam Fatimah;Jl. Ir.H.Juanda No.20 Cilacap;A;C;Cilacap;Jawa Tengah;rs
RSUD Djojonegoro Temanggung;Jl. Dr. Sutomo No.67,Temanggung;A;C;Temanggung;Jawa Tengah;rs
RS Sultan Agung Semarang;Jl. Raya Kaligawe Km.4,Semarang;A;B;Kota Semarang;Jawa Tengah;rs
RSU Dr. H.RM Soeselo W;Jl. Dr. Sutomo No.63,Slawi;A;B;Jateng;Jawa Tengah;rs
RS Permata Medika;Jl. Moch Ichsan No.93 - 97, Ngaliyah Semarang;A;C;Jateng;Jawa Tengah;rs
RSU Wonosobo;Jl. Rumah Sakit No.1,Wonosobo;A;C;Wonosobo;Jawa Tengah;rs
RSU Marga Husada;Jl. Letjen S.Parman No. 4 Selogiri,Wonogiri;A;D;Wonogiri;Jawa Tengah;rs
RS Puri Asih;Jl. Sudirman No.169,Salatiga;A;D;Salatiga;Jawa Tengah;rs
RS Akabri Pol Semarang;Jl. Majapahit No.140,Semarang;A;4;Kota Semarang;Jawa Tengah;rs
RS Islam Harapan Anda;Jl. Ababil No.42,Tegal;A;C;Kota Tegal;Jawa Tengah;rs
RSIA Amanah;Jl Raya Kebokura No.37 Kec Sumpiuh Kab Banyumas;O;C;Banyumas;Jawa Tengah;rs
"RS Jiwa dan Narkoba &quot; H.Mustajab&quot;";Jl. Raya Bungkanel - Karanganyar,Purbalingga;B;-;Purbalingga;Jawa Tengah;rs
RSUD Banyumas;Jl. Rumah Sakit No.1 Banyumas;A;B;Banyumas;Jawa Tengah;rs
RSUD Prof Dr. M Soekarjo;Jl. Dr Gumbreg No. 1 Purwokerto;A;B;Banyumas;Jawa Tengah;rs
RS Islam Purwokerto;Jl. H Masyhusri Purwokerto;A;C;Banyumas;Jawa Tengah;rs
RSIA Hidayah Purwokerto;Jl. Supriyadi No. 22 Purwokerto;O;D;Banyumas;Jawa Tengah;rs
RSUD Ajibarang;Jl. Raya Pancasan No.1,Ajibarang Banyumas;A;D;Banyumas;Jawa Tengah;rs
RSK Bedah Wiradadi Husada;Jl. Menteri Supeno No. 25,Sokaraja-Banyumas;A;D;Banyumas;Jawa Tengah;rs
RSUD Purbalinnga;Jl. Tentara Pelajar Purbalingga;A;C;Purbalingga;Jawa Tengah;rs
RS Nirmala;Jl. Letnan Yusuf Babakan, Kalimanah Purbalingga;A;C;Purbalingga;Jawa Tengah;rs
RSUD Kebumen;Jl. Rumah Sakit No.13 Kebumen;A;C;Kebumen;Jawa Tengah;rs
RS Palang Biro Gombong;Jl. Kartini 37 Gombong Kebumen;A;C;Kebumen;Jawa Tengah;rs
RSU PKU Muhamadiyah Gombong;Jl. Yos Sudarso 461 Gombong Kebumen;A;C;Kebumen;Jawa Tengah;rs
RSUD Saras Husada Purworejo;Jl. Jen Sudirman No.60 Purworejo;A;B;Purworejo;Jawa Tengah;rs
RSUD Muntilan Kab. Magelang;Jl. Kartini No.13 Muntilan;A;C;Magelang;Jawa Tengah;rs
RSUD Simo;Jl. Kebon Ijo Ds.Simo Kec.Simo, Boyolali;A;D;Boyolali;Jawa Tengah;rs
RS Jiwa Dr.R.M.Soedjarwadi Klaten;Jl. Ki Pandanaran Km.2,Klaten;B;B;Klaten;Jawa Tengah;rs
RSUD Sujoharjo;Jl. Dr Muwardi 71,Sukoharjo;A;B;Sukoharjo;Jawa Tengah;rs
RS Medika Mulya;Jl. Raya Wonogiri-Ngadirojo KM.5,Wonogiri;A;C;Wonogiri;Jawa Tengah;rs
RSUD Karanganyar;Jl. Yos Sudarso Karanganyar;A;C;Karanganyar;Jawa Tengah;rs
RS Lanuma Adisumarmo;Lanuma Adisumarmo Surakarta;A;3;Karanganyar;Jawa Tengah;rs
